Timestamp,PID,Name,CPU_Usage,Memory_Usage
2025-04-22 14:46:38.966761,1,docker-init,0.0,6.019824485997286e-05
2025-04-22 14:46:38.967089,7,node,0.0,0.441343432190891
2025-04-22 14:46:38.967348,13,oom_monitor.sh,0.0,0.025885245289788333
2025-04-22 14:46:38.967586,15,run.sh,0.0,0.014176686664523609
2025-04-22 14:46:38.967925,19,kernel_manager_proxy,0.0,0.08722725680210068
2025-04-22 14:46:38.968172,42,tail,0.0,0.007885970076656444
2025-04-22 14:46:38.968388,48,tail,0.0,0.007494681485066622
2025-04-22 14:46:38.968608,70,python3,0.0,4.316906436275944
2025-04-22 14:46:38.968859,71,colab-fileshim.,0.0,0.43132042442170554
2025-04-22 14:46:38.969122,88,jupyter-noteboo,0.0,0.9707267974894924
2025-04-22 14:46:38.969373,89,dap_multiplexer,0.0,0.03316923291784505
2025-04-22 14:46:38.969565,167,python3,0.0,1.2541702334126745
2025-04-22 14:46:38.969736,200,python3,0.0,0.14504767099010463
2025-04-22 14:46:38.969960,206,language_service,0.0,0.13941913509569714
2025-04-22 14:46:38.970178,219,node,0.0,0.41723403512447194
2025-04-22 14:46:38.970363,249,sleep,0.0,0.007735474464506512
